"#property","month","birthTotal","birthMan","birthWoman","deathTotal","deathMan","deathWoman"
"1","1","234","120","114","689","348","341"
"2","2","199","105","94","482","221","261"
"3","3","225","115","110","472","227","245"
"4","4","254","118","136","371","159","212"
"5","5","245","138","107","437","221","216"
"6","6","224","120","104","376","174","202"
"7","7","236","125","111","338","165","173"
"8","8","221","123","98","442","234","208"
"9","9","217","112","105","415","210","205"
"10","10","239","119","120","464","212","252"
"11","11","214","115","99","425","225","200"
"12","12","223","118","105","430","209","221"
