#property,month,withinThePrefOfTransferMan,withinThePrefOfTransfeWoman,OutsideThePrefMan,OutsideThePrefManWoman,MoveInAndOthersMan,MoveInAndOthersWoman,WithinThePrefMan,WithinThePrefWoman,OutOfThePrefMan,OutOfThePreffWoman,MovingOutAndOthersMan,MovingOutAndOthersWoman
1,1,113,83,269,194,5,1,92,77,320,252,18,2
2,2,130,125,253,236,11,7,96,91,430,343,11,1
3,3,297,322,1208,998,12,5,280,238,2088,1599,7,7
4,4,261,205,1220,880,17,6,133,142,612,467,18,4
5,5,142,141,574,460,10,3,99,97,430,326,16,5
6,6,112,105,432,283,4,1,111,108,423,305,8,7
7,7,108,109,493,355,12,7,99,92,463,288,8,6
8,8,123,120,415,331,11,6,103,106,391,327,11,2
9,9,100,123,376,301,8,4,106,88,414,293,15,4
10,10,125,98,443,359,11,5,81,84,354,314,10,3
11,11,91,92,350,233,5,3,107,106,287,228,11,5
12,12,101,92,325,275,3,5,69,106,354,249,12,5
