#property,latitude,longitude,installationLocation,address,telephoneNumber
1,34.34277,134.04654,高松市役所（１階ロビー）,高松市番町一丁目8-15,087-839-2011
2,34.3379,134.1393,牟礼総合センター,高松市牟礼町牟礼302-1,087-845-2111
3,34.24147,134.03441,香川総合センター,高松市香川町川東上1865-13,087-879-3211
4,34.34213,134.00078,勝賀総合センター,高松市香西南町476-1,087-882-7770
5,34.29736,133.95981,国分寺総合センター,高松市国分寺町新居1298,087-874-1111
6,34.27646,134.08556,山田支所,高松市川島本町191-2,087-848-0165
7,34.38465,134.12635,庵治支所,高松市庵治町6393-5,087-871-3111
8,34.19635,134.04134,塩江支所,高松市塩江町安原下第２号1645,087-897-0131
9,34.23997,134.01298,香南支所,高松市香南町由佐1172,087-879-3111
10,34.31387,134.03027,鶴尾コミュニティセンター,高松市田村町303-1,087-866-3176
11,34.31189,134.05579,太田コミュニティセンター,高松市伏石町2016-37,087-867-1139
12,34.31923,134.07621,木太南コミュニティセンター,高松市木太町1486,087-865-4273
13,34.33566,134.10747,古高松コミュニティセンター,高松市高松町10-20,087-841-6262
14,34.29766,134.07633,林コミュニティセンター,高松市林町329-1,087-866-3405
15,34.28436,134.04096,仏生山総合センター,高松市仏生山町甲218-1,087-889-4907
16,34.29044,134.05152,多肥コミュニティセンター,高松市多肥上町433-5,087-889-4956
17,34.2907,134.02889,一宮コミュニティセンター,高松市一宮町838-1,087-886-4793
18,34.28544,134.00553,円座コミュニティセンター,高松市円座町1622-1,087-886-4993
19,34.32896,134.00578,弦打コミュニティセンター,高松市鶴市町356-3,087-882-0285
20,34.33889,134.07206,環境業務センター,高松市木太町2282-1,087-834-0389
21,34.31651,134.04149,ゆめタウン高松,高松市三条町608-1,087-869-7500
22,34.32001,134.09208,ヤマダ電機　家電住まいる館　ＹＡＭＡＤＡ高松春日本店,高松市春日町218-1,087-818-0101
23,34.34051,134.10167,屋島レクザムフィールド（高松市屋島競技場）,高松市屋島中町374-1,087-802-7350
